,ID_start,ID_end,connexion capacity
259,DXB,LOS,3514
260,DXB,MAD,7765
261,DXB,MEL,3848
262,DXB,MNL,4911
263,DXB,NBO,3514
264,DXB,PEK,7765
265,DXB,PVG,7765
266,DXB,SEA,7280
267,DXB,SFO,7765
268,DXB,SGN,4911
269,DXB,SIN,7765
270,DXB,SVO,6456
271,DXB,SYD,6456
272,DXB,TPE,7765
273,DXB,TUN,2573
274,DXB,YYZ,7765
275,FRA,ADD,3889
276,FRA,ALG,2668
277,FRA,AMS,7203
278,FRA,ATL,7203
279,FRA,BCN,5255
280,FRA,BKK,7203
281,FRA,BOG,3889
282,FRA,BOM,4218
283,FRA,BOS,5255
284,FRA,CAI,6752
285,FRA,CDG,7203
286,FRA,CLT,4901
287,FRA,CMN,3570
288,FRA,DEL,6752
289,FRA,DEN,4218
290,FRA,DFW,7203
291,FRA,DOH,7203
292,FRA,DXB,7203
293,FRA,EWR,7203
294,FRA,EZE,3570
295,FRA,GRU,7203
296,FRA,HKG,7203
297,FRA,HND,3570
298,FRA,HRG,569
299,FRA,IAH,7203
300,FRA,ICN,7203
301,FRA,IST,7203
302,FRA,JED,6366
303,FRA,JFK,7203
304,FRA,JNB,4901
305,FRA,KUL,7203
306,FRA,LAS,4901
307,FRA,LAX,7203
308,FRA,LHR,7203
309,FRA,LOS,3259
310,FRA,MAD,7203
311,FRA,MCO,4901
312,FRA,MEX,6366
313,FRA,MIA,7203
314,FRA,NBO,3259
315,FRA,ORD,7203
316,FRA,PEK,7203
317,FRA,PVG,7203
318,FRA,SEA,6752
319,FRA,SFO,7203
320,FRA,SGN,4555
321,FRA,SIN,7203
322,FRA,SVO,5988
323,FRA,TPE,7203
324,FRA,TUN,2387
325,FRA,YYZ,7203
326,HKG,ADD,5272
327,HKG,ADL,1562
328,HKG,AKL,3235
329,HKG,AMS,9763
330,HKG,BKK,9763
331,HKG,BOM,5717
332,HKG,CAN,9763
333,HKG,CDG,9763
334,HKG,CGK,5717
335,HKG,CKG,4418
336,HKG,DEL,9152
337,HKG,DMK,2518
338,HKG,DOH,9763
339,HKG,DXB,9763
340,HKG,EWR,9763
341,HKG,FRA,9763
342,HKG,HGH,3616
343,HKG,HND,4839
344,HKG,ICN,9763
345,HKG,IST,9763
346,HKG,JFK,9763
347,HKG,JNB,6643
348,HKG,KMG,4418
349,HKG,KUL,9763
350,HKG,LAX,9763
351,HKG,LHR,9763
352,HKG,MEL,4839
353,HKG,MNL,6174
354,HKG,ORD,9763
355,HKG,PEK,9763
356,HKG,PVG,9763
357,HKG,SFO,9763
358,HKG,SGN,6174
359,HKG,SHA,1562
360,HKG,SIN,9763
361,HKG,SVO,8117
362,HKG,SYD,8117
363,HKG,TPE,9763
364,HKG,XIY,2869
365,HKG,YYZ,9763
366,IST,ADD,5458
367,IST,ALG,3744
368,IST,AMS,10108
369,IST,BCN,7375
370,IST,BKK,10108
371,IST,BOM,5919
372,IST,CAI,9476
373,IST,CAN,10108
374,IST,CDG,10108
375,IST,CMN,5010
376,IST,DEL,9476
377,IST,DOH,10108
378,IST,DXB,10108
379,IST,FRA,10108
380,IST,GRU,10108
381,IST,HKG,10108
382,IST,HRG,799
383,IST,IAH,10108
384,IST,ICN,10108
385,IST,JED,8934
386,IST,JFK,10108
387,IST,JNB,6878
388,IST,KUL,10108
389,IST,LAX,10108
390,IST,LGW,3744
391,IST,LHR,10108
392,IST,LOS,4574
393,IST,MAD,10108
394,IST,NBO,4574
395,IST,ORD,10108
396,IST,PEK,10108
397,IST,PVG,10108
398,IST,SIN,10108
399,IST,SVO,8404
400,IST,TUN,3350
401,IST,YYZ,10108
402,JED,ADD,7188
403,JED,ALG,4930
404,JED,BOM,7795
405,JED,CAI,12479
406,JED,CAN,13311
407,JED,CDG,13311
408,JED,CGK,7795
409,JED,CMN,6597
410,JED,DEL,12479
411,JED,DOH,13311
412,JED,DXB,13311
413,JED,FRA,13311
414,JED,IST,13311
415,JED,JFK,13311
416,JED,JNB,9058
417,JED,KUL,13311
418,JED,LAX,13311
419,JED,LGW,4930
420,JED,LHR,13311
421,JED,MAD,13311
422,JED,MNL,8419
423,JED,NBO,6024
424,JED,SIN,13311
425,JED,TUN,4411
426,JED,YYZ,13311
427,JNB,ADD,6206
428,JNB,AMS,11492
429,JNB,ATL,11492
430,JNB,BKK,11492
431,JNB,BOM,6730
432,JNB,CAI,10773
433,JNB,CDG,11492
434,JNB,CPT,908
435,JNB,DOH,11492
436,JNB,DXB,11492
437,JNB,FRA,11492
438,JNB,GRU,11492
439,JNB,HKG,11492
440,JNB,IST,11492
441,JNB,JED,10158
442,JNB,JFK,11492
443,JNB,LHR,11492
444,JNB,LOS,5201
445,JNB,NBO,5201
446,JNB,SIN,11492
447,JNB,SYD,9555
448,LHR,ADD,3954
449,LHR,ALG,2712
450,LHR,AMS,7322
451,LHR,ATL,7322
452,LHR,BCN,5343
453,LHR,BKK,7322
454,LHR,BOM,4288
455,LHR,BOS,5343
456,LHR,CAI,6864
457,LHR,CAN,7322
458,LHR,CDG,7322
459,LHR,CLT,4982
460,LHR,CMN,3629
461,LHR,CPT,578
462,LHR,DEL,6864
463,LHR,DEN,4288
464,LHR,DFW,7322
465,LHR,DOH,7322
466,LHR,DXB,7322
467,LHR,EWR,7322
468,LHR,EZE,3629
469,LHR,FRA,7322
470,LHR,GRU,7322
471,LHR,HKG,7322
472,LHR,HND,3629
473,LHR,IAH,7322
474,LHR,ICN,7322
475,LHR,IST,7322
476,LHR,JED,6472
477,LHR,JFK,7322
478,LHR,JNB,4982
479,LHR,KUL,7322
480,LHR,LAS,4982
481,LHR,LAX,7322
482,LHR,LOS,3313
483,LHR,MAD,7322
484,LHR,MEX,6472
485,LHR,MIA,7322
486,LHR,MNL,4631
487,LHR,NBO,3313
488,LHR,ORD,7322
489,LHR,PEK,7322
490,LHR,PHX,3954
491,LHR,PVG,7322
492,LHR,SEA,6864
493,LHR,SFO,7322
494,LHR,SIN,7322
495,LHR,SVO,6087
496,LHR,TUN,2426
497,LHR,YYZ,7322
498,LOS,ADD,5197
499,LOS,AMS,9624
500,LOS,ATL,9624
501,LOS,CAI,9022
502,LOS,CDG,9624
503,LOS,CMN,4770
504,LOS,DOH,9624
505,LOS,DXB,9624
506,LOS,FRA,9624
507,LOS,IAH,9624
508,LOS,IST,9624
509,LOS,JFK,9624
510,LOS,JNB,6549
511,LOS,LHR,9624
512,LOS,MAD,9624
513,LOS,NBO,4355
514,NBO,ADD,5230
515,NBO,AMS,9685
516,NBO,BKK,9685
517,NBO,BOM,5671
518,NBO,CAI,9079
519,NBO,CAN,9685
520,NBO,CDG,9685
521,NBO,DEL,9079
522,NBO,DOH,9685
523,NBO,DXB,9685
524,NBO,ICN,9685
525,NBO,IST,9685
526,NBO,JED,8560
527,NBO,JNB,6590
528,NBO,LHR,9685
529,NBO,LOS,4383
530,PEK,ADD,4786
531,PEK,ALG,3283
532,PEK,AMS,8864
533,PEK,BKK,8864
534,PEK,CAI,8309
535,PEK,CAN,8864
536,PEK,CDG,8864
537,PEK,CGK,5191
538,PEK,CKG,4011
539,PEK,DEL,8309
540,PEK,DOH,8864
541,PEK,DXB,8864
542,PEK,EWR,8864
543,PEK,FRA,8864
544,PEK,HGH,3283
545,PEK,HKG,8864
546,PEK,HND,4393
547,PEK,IAH,8864
548,PEK,ICN,8864
549,PEK,IST,8864
550,PEK,JFK,8864
551,PEK,JNB,6031
552,PEK,KMG,4011
553,PEK,KUL,8864
554,PEK,LAX,8864
555,PEK,LGW,3283
556,PEK,LHR,8864
557,PEK,MAD,8864
558,PEK,MNL,5606
559,PEK,ORD,8864
560,PEK,PVG,8864
561,PEK,SEA,8309
562,PEK,SFO,8864
563,PEK,SGN,5606
564,PEK,SHA,1418
565,PEK,SIN,8864
566,PEK,SVO,7369
567,PEK,SYD,7369
568,PEK,SZX,2937
569,PEK,TPE,8864
570,PEK,XIY,2605
571,PEK,YYZ,8864
572,PVG,ADD,5531
573,PVG,AKL,3395
574,PVG,AMS,10243
575,PVG,BKK,10243
576,PVG,CAN,10243
577,PVG,CDG,10243
578,PVG,CGK,5999
579,PVG,CKG,4635
580,PVG,DEL,9603
581,PVG,DOH,10243
582,PVG,DXB,10243
583,PVG,EWR,10243
584,PVG,FRA,10243
585,PVG,HKG,10243
586,PVG,ICN,10243
587,PVG,IST,10243
588,PVG,JFK,10243
589,PVG,KMG,4635
590,PVG,KUL,10243
591,PVG,LAX,10243
592,PVG,LHR,10243
593,PVG,MEL,5077
594,PVG,MNL,6478
595,PVG,ORD,10243
596,PVG,PEK,10243
597,PVG,SEA,9603
598,PVG,SFO,10243
599,PVG,SGN,6478
600,PVG,SIN,10243
601,PVG,SVO,8516
602,PVG,SYD,8516
603,PVG,SZX,3395
604,PVG,TPE,10243
605,PVG,XIY,3011
606,PVG,YYZ,10243
607,YYZ,ADD,4997
608,YYZ,AMS,9254
609,YYZ,ATL,9254
610,YYZ,BCN,6752
611,YYZ,BOG,4997
612,YYZ,BOS,6752
613,YYZ,CAI,8675
614,YYZ,CDG,9254
615,YYZ,CLT,6297
616,YYZ,DEN,5419
617,YYZ,DFW,9254
618,YYZ,DXB,9254
619,YYZ,EWR,9254
620,YYZ,FRA,9254
621,YYZ,GRU,9254
622,YYZ,HKG,9254
623,YYZ,IAH,9254
624,YYZ,ICN,9254
625,YYZ,IST,9254
626,YYZ,JED,8179
627,YYZ,JFK,9254
628,YYZ,LAS,6297
629,YYZ,LAX,9254
630,YYZ,LGW,3427
631,YYZ,LHR,9254
632,YYZ,LIM,4586
633,YYZ,MCO,6297
634,YYZ,MEX,8179
635,YYZ,MIA,9254
636,YYZ,ORD,9254
637,YYZ,PEK,9254
638,YYZ,PHX,4997
639,YYZ,PVG,9254
640,YYZ,SCL,3427
641,YYZ,SEA,8675
642,YYZ,SFO,9254
643,YYZ,SVO,7693
644,YYZ,TPE,9254
645,AKL,ADL,1465
646,AKL,BKK,9157
647,AKL,CAN,9157
648,AKL,HKG,9157
649,AKL,ICN,9157
650,AKL,KUL,9157
651,AKL,LAX,9157
652,AKL,MEL,4538
653,AKL,PVG,9157
654,AKL,SCL,3392
655,AKL,SFO,9157
656,AKL,SIN,9157
657,AKL,SYD,7613
658,CBR,ADL,1185
659,CBR,MEL,3673
660,CBR,SYD,6162
661,DXB,ADD,4193
662,DXB,ADL,1242
663,DXB,ALG,2876
664,DXB,AMS,7765
665,DXB,ATL,7765
666,DXB,BCN,5666
667,DXB,BKK,7765
668,DXB,BOM,4547
669,DXB,BOS,5666
670,DXB,CAI,7280
671,DXB,CAN,7765
672,DXB,CDG,7765
673,DXB,CGK,4547
674,DXB,CMN,3848
675,DXB,CPT,613
676,DXB,DEL,7280
677,DXB,DFW,7765
678,DXB,DOH,7765
679,DXB,FRA,7765
680,DXB,GRU,7765
681,DXB,HKG,7765
682,DXB,HND,3848
683,DXB,IAH,7765
684,DXB,ICN,7765
685,DXB,IST,7765
686,DXB,JED,6864
687,DXB,JFK,7765
688,DXB,JNB,5284
689,DXB,KMG,3514
690,DXB,KUL,7765
691,DXB,LAX,7765
692,DXB,LGW,2876
693,DXB,LHR,7765
694,DXB,LOS,3514
695,DXB,MAD,7765
696,DXB,MEL,3848
697,DXB,MNL,4911
698,DXB,NBO,3514
699,DXB,PEK,7765
700,DXB,PVG,7765
701,DXB,SEA,7280
702,DXB,SFO,7765
703,DXB,SGN,4911
704,DXB,SIN,7765
705,DXB,SVO,6456
706,DXB,SYD,6456
707,DXB,TPE,7765
708,DXB,TUN,2573
709,DXB,YYZ,7765
710,HKG,ADD,5272
711,HKG,ADL,1562
712,HKG,AKL,3235
713,HKG,AMS,9763
714,HKG,BKK,9763
715,HKG,BOM,5717
716,HKG,CAN,9763
717,HKG,CDG,9763
718,HKG,CGK,5717
719,HKG,CKG,4418
720,HKG,DEL,9152
721,HKG,DMK,2518
722,HKG,DOH,9763
723,HKG,DXB,9763
724,HKG,EWR,9763
725,HKG,FRA,9763
726,HKG,HGH,3616
727,HKG,HND,4839
728,HKG,ICN,9763
729,HKG,IST,9763
730,HKG,JFK,9763
731,HKG,JNB,6643
732,HKG,KMG,4418
733,HKG,KUL,9763
734,HKG,LAX,9763
735,HKG,LHR,9763
736,HKG,MEL,4839
737,HKG,MNL,6174
738,HKG,ORD,9763
739,HKG,PEK,9763
740,HKG,PVG,9763
741,HKG,SFO,9763
742,HKG,SGN,6174
743,HKG,SHA,1562
744,HKG,SIN,9763
745,HKG,SVO,8117
746,HKG,SYD,8117
747,HKG,TPE,9763
748,HKG,XIY,2869
749,HKG,YYZ,9763
750,KUL,ADL,2088
751,KUL,AKL,4326
752,KUL,AMS,13052
753,KUL,BKK,13052
754,KUL,BOM,7643
755,KUL,CAN,13052
756,KUL,CDG,13052
757,KUL,CGK,7643
758,KUL,DEL,12236
759,KUL,DMK,3367
760,KUL,DOH,13052
761,KUL,DXB,13052
762,KUL,FRA,13052
763,KUL,HGH,4834
764,KUL,HKG,13052
765,KUL,HND,6469
766,KUL,ICN,13052
767,KUL,IST,13052
768,KUL,JED,11536
769,KUL,KMG,5906
770,KUL,LHR,13052
771,KUL,MEL,6469
772,KUL,MNL,8255
773,KUL,PEK,13052
774,KUL,PVG,13052
775,KUL,SGN,8255
776,KUL,SIN,13052
777,KUL,SYD,10851
778,KUL,SZX,4326
779,KUL,TPE,13052
780,MEL,ADL,1809
781,MEL,AKL,3748
782,MEL,BKK,11309
783,MEL,CAN,11309
784,MEL,CBR,415
785,MEL,CGK,6622
786,MEL,DEL,10601
787,MEL,DOH,11309
788,MEL,DXB,11309
789,MEL,HKG,11309
790,MEL,KUL,11309
791,MEL,LAX,11309
792,MEL,MNL,7152
793,MEL,PVG,11309
794,MEL,SGN,7152
795,MEL,SIN,11309
796,MEL,SYD,9402
797,SIN,ADL,1931
798,SIN,AKL,4001
799,SIN,AMS,12074
800,SIN,BCN,8809
801,SIN,BKK,12074
802,SIN,BOM,7070
803,SIN,CAN,12074
804,SIN,CDG,12074
805,SIN,CGK,7070
806,SIN,CKG,5464
807,SIN,DEL,11318
808,SIN,DMK,3114
809,SIN,DOH,12074
810,SIN,DXB,12074
811,SIN,FRA,12074
812,SIN,HGH,4472
813,SIN,HKG,12074
814,SIN,HND,5984
815,SIN,ICN,12074
816,SIN,IST,12074
817,SIN,JED,10672
818,SIN,JNB,8216
819,SIN,KMG,5464
820,SIN,KUL,12074
821,SIN,LHR,12074
822,SIN,MEL,5984
823,SIN,MNL,7636
824,SIN,PEK,12074
825,SIN,PVG,12074
826,SIN,SGN,7636
827,SIN,SYD,10038
828,SIN,SZX,4001
829,SIN,TPE,12074
830,SYD,ADL,2178
831,SYD,AKL,4513
832,SYD,BKK,13617
833,SYD,CAN,13617
834,SYD,CBR,500
835,SYD,CGK,7974
836,SYD,CKG,6162
837,SYD,DEL,12765
838,SYD,DFW,13617
839,SYD,DXB,13617
840,SYD,HKG,13617
841,SYD,ICN,13617
842,SYD,JNB,9266
843,SYD,KUL,13617
844,SYD,LAX,13617
845,SYD,MEL,6749
846,SYD,MNL,8612
847,SYD,PEK,13617
848,SYD,PVG,13617
849,SYD,SCL,5044
850,SYD,SFO,13617
851,SYD,SGN,8612
852,SYD,SIN,13617
853,SYD,TPE,13617
854,ADL,AKL,2793
855,ADL,CBR,309
856,ADL,DXB,8428
857,ADL,HKG,8428
858,ADL,KUL,8428
859,ADL,MEL,4177
860,ADL,SIN,8428
861,ADL,SYD,7007
862,BKK,ADD,6181
863,BKK,AKL,3794
864,BKK,AMS,11447
865,BKK,BOM,6703
866,BKK,CAI,10731
867,BKK,CAN,11447
868,BKK,CDG,11447
869,BKK,CGK,6703
870,BKK,CKG,5180
871,BKK,DEL,10731
872,BKK,DOH,11447
873,BKK,DXB,11447
874,BKK,FRA,11447
875,BKK,HKG,11447
876,BKK,HND,5673
877,BKK,ICN,11447
878,BKK,IST,11447
879,BKK,JNB,7789
880,BKK,KMG,5180
881,BKK,KUL,11447
882,BKK,LHR,11447
883,BKK,MAD,11447
884,BKK,MEL,5673
885,BKK,MNL,7240
886,BKK,NBO,5180
887,BKK,PEK,11447
888,BKK,PVG,11447
889,BKK,SGN,7240
890,BKK,SIN,11447
891,BKK,SVO,9517
892,BKK,SYD,9517
893,BKK,SZX,3794
894,BKK,TPE,11447
895,CAN,ADD,6459
896,CAN,AKL,3964
897,CAN,AMS,11962
898,CAN,BKK,11962
899,CAN,CAI,11213
900,CAN,CDG,11962
901,CAN,CGK,7005
902,CAN,CKG,5413
903,CAN,DEL,11213
904,CAN,DMK,3085
905,CAN,DOH,11962
906,CAN,DXB,11962
907,CAN,HGH,4430
908,CAN,HKG,11962
909,CAN,ICN,11962
910,CAN,IST,11962
911,CAN,JED,10573
912,CAN,KMG,5413
913,CAN,KUL,11962
914,CAN,LAX,11962
915,CAN,LHR,11962
916,CAN,MEL,5928
917,CAN,MNL,7565
918,CAN,NBO,5413
919,CAN,PEK,11962
920,CAN,PVG,11962
921,CAN,SGN,7565
922,CAN,SHA,1913
923,CAN,SIN,11962
924,CAN,SVO,9945
925,CAN,SYD,9945
926,CAN,TPE,11962
927,CAN,XIY,3516
928,HKG,ADD,5272
929,HKG,ADL,1562
930,HKG,AKL,3235
931,HKG,AMS,9763
932,HKG,BKK,9763
933,HKG,BOM,5717
934,HKG,CAN,9763
935,HKG,CDG,9763
936,HKG,CGK,5717
937,HKG,CKG,4418
938,HKG,DEL,9152
939,HKG,DMK,2518
940,HKG,DOH,9763
941,HKG,DXB,9763
942,HKG,EWR,9763
943,HKG,FRA,9763
944,HKG,HGH,3616
945,HKG,HND,4839
946,HKG,ICN,9763
947,HKG,IST,9763
948,HKG,JFK,9763
949,HKG,JNB,6643
950,HKG,KMG,4418
951,HKG,KUL,9763
952,HKG,LAX,9763
953,HKG,LHR,9763
954,HKG,MEL,4839
955,HKG,MNL,6174
956,HKG,ORD,9763
957,HKG,PEK,9763
958,HKG,PVG,9763
959,HKG,SFO,9763
960,HKG,SGN,6174
961,HKG,SHA,1562
962,HKG,SIN,9763
963,HKG,SVO,8117
964,HKG,SYD,8117
965,HKG,TPE,9763
966,HKG,XIY,2869
967,HKG,YYZ,9763
968,ICN,AKL,2938
969,ICN,AMS,8866
970,ICN,ATL,8866
971,ICN,BKK,8866
972,ICN,BOM,5192
973,ICN,CAN,8866
974,ICN,CDG,8866
975,ICN,CGK,5192
976,ICN,CKG,4012
977,ICN,DEL,8311
978,ICN,DFW,8866
979,ICN,DOH,8866
980,ICN,DXB,8866
981,ICN,FRA,8866
982,ICN,HGH,3284
983,ICN,HKG,8866
984,ICN,HND,4394
985,ICN,IAH,8866
986,ICN,IST,8866
987,ICN,JFK,8866
988,ICN,KMG,4012
989,ICN,KUL,8866
990,ICN,LAS,6033
991,ICN,LAX,8866
992,ICN,LHR,8866
993,ICN,MAD,8866
994,ICN,MNL,5607
995,ICN,NBO,4012
996,ICN,ORD,8866
997,ICN,PEK,8866
998,ICN,PVG,8866
999,ICN,SEA,8311
1000,ICN,SFO,8866
1001,ICN,SGN,5607
1002,ICN,SIN,8866
1003,ICN,SVO,7371
1004,ICN,SYD,7371
1005,ICN,SZX,2938
1006,ICN,TPE,8866
1007,ICN,XIY,2606
1008,ICN,YYZ,8866
1009,KUL,ADL,2088
1010,KUL,AKL,4326
1011,KUL,AMS,13052
1012,KUL,BKK,13052
1013,KUL,BOM,7643
1014,KUL,CAN,13052
1015,KUL,CDG,13052
1016,KUL,CGK,7643
1017,KUL,DEL,12236
1018,KUL,DMK,3367
1019,KUL,DOH,13052
1020,KUL,DXB,13052
1021,KUL,FRA,13052
1022,KUL,HGH,4834
1023,KUL,HKG,13052
1024,KUL,HND,6469
1025,KUL,ICN,13052
1026,KUL,IST,13052
1027,KUL,JED,11536
1028,KUL,KMG,5906
1029,KUL,LHR,13052
1030,KUL,MEL,6469
1031,KUL,MNL,8255
1032,KUL,PEK,13052
1033,KUL,PVG,13052
1034,KUL,SGN,8255
1035,KUL,SIN,13052
1036,KUL,SYD,10851
1037,KUL,SZX,4326
1038,KUL,TPE,13052
1039,LAX,AKL,2949
1040,LAX,AMS,8897
1041,LAX,ATL,8897
1042,LAX,BOS,6492
1043,LAX,CAN,8897
1044,LAX,CDG,8897
1045,LAX,CLT,6054
1046,LAX,DEN,5210
1047,LAX,DFW,8897
1048,LAX,DXB,8897
1049,LAX,EWR,8897
1050,LAX,FRA,8897
1051,LAX,GRU,8897
1052,LAX,HKG,8897
1053,LAX,HND,4410
1054,LAX,IAH,8897
1055,LAX,ICN,8897
1056,LAX,IST,8897
1057,LAX,JED,7864
1058,LAX,JFK,8897
1059,LAX,LAS,6054
1060,LAX,LHR,8897
1061,LAX,LIM,4410
1062,LAX,MAD,8897
1063,LAX,MCO,6054
1064,LAX,MEL,4410
1065,LAX,MEX,7864
1066,LAX,MIA,8897
1067,LAX,MNL,5627
1068,LAX,ORD,8897
1069,LAX,PEK,8897
1070,LAX,PHX,4804
1071,LAX,PVG,8897
1072,LAX,SEA,8341
1073,LAX,SFO,8897
